Term,Artist,Genres,Popularity
long_term,Kristen Bell,movie tunes,65
long_term,Buck & Evans,,14
long_term,Rob Thomas,"neo mellow, pop rock, post-grunge",60
long_term,Florida Georgia Line,"contemporary country, country, country pop, country road, modern country rock",73
long_term,girl in red,"bedroom pop, indie pop, norwegian indie, pov: indie",74
long_term,Talltale,modern alternative pop,23
long_term,ayokay,"electropop, indie electropop, indie pop rap, indie poptimism",49
long_term,Fleet Foxes,"chamber pop, folk, indie folk, indie rock, indietronica, modern rock, seattle indie, singer-songwriter, stomp and holler",63
long_term,HAIM,"indietronica, metropopolis",64
long_term,"Tyler, The Creator","hip hop, rap",84
long_term,Shannon Lauren Callihan,,36
long_term,JP Cooper,uk pop,65
long_term,First and Forever,pop punk,49
long_term,Breaking Benjamin,"alternative metal, nu metal, post-grunge",70
long_term,Social House,,63
long_term,Freddie King,"blues, blues rock, electric blues, texas blues, traditional blues",49
long_term,Jackson Browne,"album rock, classic rock, country rock, folk, folk rock, heartland rock, mellow gold, piano rock, singer-songwriter, soft rock",60
long_term,Evanescence,alternative metal,72
long_term,Gregory Alan Isakov,"indie folk, pop folk, stomp and flutter, stomp and holler",70
long_term,Jordan Fisher,"movie tunes, post-teen pop",57
long_term,Ray LaMontagne,"acoustic pop, indie folk, neo mellow, stomp and holler",63
long_term,Matt Wertz,"acoustic pop, neo mellow",37
long_term,Sam Fischer,"australian pop, singer-songwriter pop",61
long_term,Hayley Williams,art pop,65
long_term,Maxine Nightingale,classic uk pop,48
long_term,Vacation Manor,hopebeat,47
long_term,Thomas Rhett,"contemporary country, country, country road, modern country rock",72
long_term,The Paper Kites,"australian indie folk, indie anthem-folk, indie folk, stomp and flutter, stomp and holler",69
long_term,Cody Fry,indiecoustica,58
long_term,Ella Henderson,"dance pop, pop dance, talent show, uk pop",72
long_term,NF,"hip hop, pop rap",79
long_term,LORDFI,lo-fi cover,28
long_term,Redbone,"native american contemporary, native american traditional",61
long_term,Joji,viral pop,78
long_term,Phil Collins,"rock drums, soft rock",75
long_term,Allen Stone,retro soul,51
long_term,Lil Baby,"atl hip hop, atl trap, rap, trap",86
long_term,Sam Cooke,"classic soul, soul, vocal jazz",68
long_term,Brett Eldredge,"contemporary country, country, country road, modern country rock",59
long_term,Ludwig Göransson,"nordic soundtrack, orchestral soundtrack, soundtrack",67
long_term,The Chicks,"contemporary country, country, country dawn",66
long_term,Nashville Cast,,48
long_term,Todd Baker,video game music,37
long_term,Disatelier,,25
long_term,The Temptations,"classic soul, memphis soul, motown, soul",67
long_term,Jeremy Zucker,"alt z, electropop, pop",68
long_term,Weezer,"alternative rock, modern power pop, modern rock, permanent wave, rock",73
long_term,The Beach Boys,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, sunshine pop",71
long_term,Camo Columbo,,31
long_term,Chance Peña,singer-songwriter pop,72
long_term,Looking Glass,sunshine pop,56
long_term,Hailee Steinfeld,pop,68
long_term,Meghan Trainor,"hip pop, pop",76
long_term,Bing Crosby,"adult standards, easy listening, lounge",64
long_term,Joe Jonas,"pop, post-teen pop",55
long_term,Aretha Franklin,"classic soul, jazz blues, memphis soul, neo soul, soul, southern soul, vocal jazz",70
long_term,Seaway,"anthem emo, canadian pop punk, canadian punk, easycore, pop punk",36
long_term,Burl Ives,american folk revival,56
