Term,Artist,Song,Album,Release Date
medium_term,Gary Clark Jr.,Numb,Blak and Blu (Deluxe Edition),2012-10-22
medium_term,John Mayer,Bold as Love,Continuum,2006-09-11
medium_term,Sabrina Carpenter,A Nonsense Christmas,fruitcake,2023-11-17
medium_term,John Mayer,In Repair,Continuum,2006-09-11
medium_term,Fountains Of Wayne,Stacy's Mom,Welcome Interstate Managers,2003-01-01
medium_term,Death Cab for Cutie,The Ghosts of Beverly Drive,Kintsugi,2015-03-27
medium_term,Mt. Joy,Astrovan,Mt. Joy,2018-03-02
medium_term,Green Day,Holiday,Greatest Hits: God's Favorite Band,2017-11-17
medium_term,All Time Low,The Irony of Choking on a Lifesaver,Don't Panic,2012-10-09
medium_term,Sabrina Carpenter,cindy lou who,fruitcake,2023-11-17
medium_term,Gracie Abrams,minor,minor,2020-07-14
medium_term,Billie Eilish,Not My Responsibility,Happier Than Ever,2021-07-30
medium_term,John Mayer,Dear Marie,Paradise Valley,2013-08-20
medium_term,Phoebe Bridgers,I Know The End,Punisher,2020-06-18
medium_term,Halsey,Die 4 Me,Die 4 Me,2023-02-24
medium_term,Two Door Cinema Club,Undercover Martyn,Tourist History,2010-02-17
medium_term,Hozier,"I, Carrion (Icarian)",Unreal Unearth,2023-08-18
medium_term,5 Seconds of Summer,COMPLETE MESS,5SOS5,2022-09-23
medium_term,My Chemical Romance,The Sharpest Lives,The Black Parade,2006-10-23
medium_term,Miley Cyrus,Wrecking Ball,Bangerz (Deluxe Version),2013-10-04
medium_term,Billie Eilish,everything i wanted,everything i wanted,2019-11-13
medium_term,Cuco,Amor de Siempre,wannabewithu,2016-07-09
medium_term,My Chemical Romance,Sleep,The Black Parade,2006-10-23
medium_term,Miley Cyrus,Golden G String,Plastic Hearts,2020-11-27
medium_term,All Time Low,Weightless,Nothing Personal (Deluxe Version),2009-07-07
medium_term,Taylor Swift,Don’t Blame Me,reputation,2017-11-10
medium_term,John Mayer,Waiting On the World to Change,Continuum,2006-09-11
medium_term,Corella,Caught Up,Caught Up,2018-02-23
medium_term,Phoebe Bridgers,Motion Sickness,Stranger in the Alps,2017-09-22
medium_term,Olivia Rodrigo,lacy,GUTS,2023-09-08
medium_term,My Chemical Romance,This Is How I Disappear,The Black Parade,2006-10-23
medium_term,BØRNS,Dug My Heart,Dopamine,2015-10-16
medium_term,5 Seconds of Summer,Lie To Me,Youngblood (Deluxe),2018-06-15
medium_term,Gary Clark Jr.,When I'm Gone,This Land,2019-02-22
medium_term,Two Door Cinema Club,I Can Talk,Tourist History,2010-02-17
medium_term,Billie Eilish,Male Fantasy,Happier Than Ever,2021-07-30
medium_term,John Mayer,I Don't Trust Myself (With Loving You),Continuum,2006-09-11
medium_term,Olivia Rodrigo,making the bed,GUTS,2023-09-08
medium_term,Harry Styles,Meet Me in the Hallway,Harry Styles,2017-05-12
medium_term,All Time Low,Painting Flowers,Painting Flowers,2011-11-15
medium_term,Adele,Sweetest Devotion,25,2015-11-20
medium_term,Gary Clark Jr.,Stay,The Story of Sonny Boy Slim,2015-09-11
medium_term,My Chemical Romance,Mama,The Black Parade,2006-10-23
medium_term,JAY-Z,Run This Town,The Blueprint 3,2009-09-08
medium_term,My Chemical Romance,I'm Not Okay (I Promise),Three Cheers for Sweet Revenge,2004-06-08
medium_term,Billie Eilish,my future,Happier Than Ever,2021-07-30
medium_term,5 Seconds of Summer,You Don’t Go To Parties,5SOS5,2022-09-23
